ok   /  (text changed: True, forms: 3, fields: 18, tel: 7)
ok   /reviews  (text changed: True, forms: 3, fields: 18, tel: 4)
ok   /services/deep-cleaning  (text changed: True, forms: 3, fields: 18, tel: 8)
ok   /services/recurring-cleaning  (text changed: True, forms: 3, fields: 18, tel: 8)
ok   /services/move-out-cleaning  (text changed: True, forms: 3, fields: 18, tel: 5)
ok   /services/maid-service  (text changed: True, forms: 3, fields: 18, tel: 8)
ok   /services/airbnb-cleaning  (text changed: True, forms: 3, fields: 18, tel: 8)
ok   /pricing  (text changed: True, forms: 2, fields: 17, tel: 5)
ok   /about  (text changed: True, forms: 3, fields: 18, tel: 6)
ok   /contact  (text changed: True, forms: 3, fields: 18, tel: 5)
ok   /faq  (text changed: True, forms: 3, fields: 18, tel: 6)
ok   /resources/faq  (text changed: True, forms: 2, fields: 17, tel: 5)
ok   /locations/bethesda-md  (text changed: True, forms: 3, fields: 18, tel: 7)
ok   /locations/bethesda-md/deep-cleaning  (text changed: True, forms: 3, fields: 18, tel: 7)
ok   /locations/bethesda-md/recurring-cleaning  (text changed: True, forms: 3, fields: 18, tel: 7)
ok   /locations/bethesda-md/house-cleaning  (text changed: True, forms: 3, fields: 18, tel: 7)
ok   /locations/silver-spring-md  (text changed: True, forms: 3, fields: 18, tel: 7)
ok   /locations/fairfax-va  (text changed: True, forms: 3, fields: 18, tel: 7)
ok   /locations/alexandria-va  (text changed: True, forms: 3, fields: 18, tel: 7)
ok   /locations/rockville-md  (text changed: True, forms: 3, fields: 18, tel: 7)
ok   /locations/rockville-md/move-out-cleaning  (text changed: True, forms: 3, fields: 18, tel: 7)
ok   /locations/rockville-md/deep-cleaning  (text changed: True, forms: 3, fields: 18, tel: 7)
ok   /locations/rockville-md/recurring-cleaning  (text changed: True, forms: 3, fields: 18, tel: 7)
ok   /resources/best-house-cleaning-service-bethesda-md  (text changed: True, forms: 2, fields: 17, tel: 6)
ok   /resources/free-house-cleaning-for-seniors  (text changed: True, forms: 2, fields: 17, tel: 6)
ok   /resources/house-cleaning-for-seniors  (text changed: True, forms: 2, fields: 17, tel: 6)
ok   /resources/move-in-cleaning-checklist  (text changed: True, forms: 2, fields: 17, tel: 5)
ok   /es  (text changed: True, forms: 2, fields: 17, tel: 6)
ok   /es/nosotros  (text changed: True, forms: 2, fields: 17, tel: 6)
ok   /es/contacto  (text changed: True, forms: 3, fields: 23, tel: 5)
ok   /es/limpieza-de-casas  (text changed: True, forms: 2, fields: 17, tel: 7)
ok   /resources/real-deep-cleaning-project-bethesda-home  (text changed: True, forms: 2, fields: 17, tel: 5)
ok   /senior-home-cleaning-montgomery-county-md  (text changed: True, forms: 3, fields: 20, tel: 6)
ok   /resources/how-much-tip-house-cleaner  (text changed: True, forms: 2, fields: 17, tel: 6)
ADS /services/house-cleaning prod=200 prev=200 identical_after_hash_norm=True still_shows_45=True
sitemap identical True 300
RESULT PASS (34/34 pages ok)
